County ( Qark ),Municipalities ( Bashki ),Area km² ( sq mi ),NUTS Region,Population ( 2019 ),Prefect
Berat,"Berat , Kuçovë , Poliçan , Skrapar , Ura Vajgurore","1,798 km ( 694 sq mi )",South,"125,157",Harilla Dafa
Dibër,"Bulqizë , Dibër , Klos , Mat","2,586 km ( 998 sq mi )",North,"118,948",Abedin Shehu
Durrës,"Durrës , Krujë , Shijak",766 km ( 296 sq mi ),North,"290,126",Roland Nasto
Elbasan,"Belsh , Cërrik , Elbasan , Gramsh , Librazhd , Peqin , Prrenjas","3,199 km ( 1,235 sq mi )",Central,"274,982",Maksim Malaj
Fier,"Divjakë , Fier , Lushnjë , Mallakastër , Patos , Roskovec","1,890 km ( 730 sq mi )",South,"294,747",Baki Bala
Gjirokastër,"Dropull , Gjirokastër , Këlcyrë , Libohovë , Memaliaj , Përmet , Tepelenë","2,884 km ( 1,114 sq mi )",South,"61,423",Astrit Aliaj
Korçë,"Devoll , Kolonjë , Korçë , Maliq , Pogradec , Pustec","3,711 km ( 1,433 sq mi )",South,"207,889",Dhori Spirollari
Kukës,"Has , Kukës , Tropojë","2,374 km ( 917 sq mi )",North,"76,594",Zenel Kucana
Lezhë,"Kurbin , Lezhë , Mirditë","1,620 km ( 630 sq mi )",North,"125,195",Gjergj Prendi
Shkodër,"Fushë-Arrëz , Malësi e Madhe , Pukë , Shkodër , Vau i Dejës","3,562 km ( 1,375 sq mi )",North,"202,895",Çesk Millja
Tiranë,"Kamëz , Kavajë , Rrogozhinë , Tiranë , Vorë","1,652 km ( 638 sq mi )",Central,"895,160",Suzana Jahollari
Vlorë,"Delvinë , Finiq , Himarë , Konispol , Sarandë , Selenicë , Vlorë","2,706 km ( 1,045 sq mi )",South,"189,311",Flamur Mamaj
