Name,Position,Province
Archie D'Arcy,Fullback,Wairarapa
Henry Clarke Wilson,Fullback,Wellington
Alan Good,Wing,Taranaki
George Harper,Three-quarter,Nelson
Francis Doss Mahon Jervis,Wing,Auckland
William Tabby Wynyard,Three-quarter,Wellington
Henry Butland,Half back,West Coast
David Gage,Utility back,Wellington
Maurice Herrold,Half back,Auckland
Graham Shannon,Half back / Forward,Manawatu
Alfred Bayly,Loose forward,Taranaki
Sam Cockroft,Hooker,Manawatu
Thomas Ellison,Forward,Wellington
John Henry Gardner,Forward,South Canterbury
Rod Gray,Forward,Wairarapa
James Taylor Lambie,Forward,Taranaki
Charles Nicholson Macintosh,Forward,South Canterbury
Robert McKenzie,Forward,Auckland
William McKenzie,Wing forward,Wairarapa
John Mowlem,Forward,Manawatu
