No,Name,Date of birth,L/R
1,Nikolaos Deligiannis,3 September 1976,R
2,Konstantinos Galanidis,1 September 1990,R
3,Evangelos Delakas,8 February 1985,R
4,Kyriakos Pontikeas,9 May 1991,R
5,Nikola Rađen,29 January 1985,R
6,Alexandros Gounas,3 October 1989,R
7,Georgios Dervisis,30 October 1994,R
8,Ioannis Fountoulis,25 May 1988,R
9,Angelos Vlachopoulos,28 September 1991,R
10,Georgios Ntoskas,11 November 1984,R
11,Emmanouil Mylonakis,9 April 1985,R
12,Blai Mallarach,21 August 1987,R
13,Emmanouil Liapakis,24 July 1997,R
14,Konstantinos Mourikis,11 July 1988,R
15,Christodoulos Kolomvos,26 October 1988,R
