Name of aircraft,Year in service,Country of origin
Aichi B7A torpedo/dive bomber,1945,Japan
Aichi D1A dive bomber,1934,Japan
Aichi D3A dive bomber,1937,Japan
Blackburn Skua fighter/dive bomber,1938,UK
Brewster SB2A Buccaneer/Bermuda dive bomber,1941,US
Consolidated TBY Sea Wolf torpedo bomber,1944,US
Curtiss SB2C Helldiver/A-25 Shrike dive bomber,1943,US
Curtiss SBC Helldiver/Cleveland dive bomber,1938,US
Douglas DT torpedo bomber,1921,US
Douglas SBD Dauntless/A-24 Banshee dive bomber,1940,US
Douglas TBD Devastator torpedo bomber,1935,US
Fairey Albacore torpedo/dive bomber,1940,UK
Fairey Barracuda torpedo/dive bomber,1942,UK
Fairey Swordfish torpedo bomber,1936,UK
Fieseler Fi 167 torpedo/reconnaissance bomber,1940,Germany
Grumman TBF/TBM Avenger torpedo bomber,1942,US
Loire-Nieuport LN.401 dive bomber,1939,France
Mitsubishi B5M torpedo bomber,1937,Japan
Nakajima B5N torpedo bomber,1938,Japan
Nakajima B6N torpedo bomber,1942,Japan
