Date,Pos,Player,Moving to,Fee
14 December 2011,FW,Johan Fano,Atlético Nacional,Undisclosed loan
19 December 2011,MF,Johan Vasquez,León de Huánuco,Free
19 December 2011,MF,Pedro García,León de Huánuco,Free
28 December 2011,MF,Pablo Vitti,Querétaro,Free
1 January 2012,FW,Joyce Conde,César Vallejo,
1 January 2012,GK,Carlos Solís,Sport Huancayo,
2 January 2012,MF,Martín Morel,All Boys,Free
8 January 2012,DF,Carlos Galván,César Vallejo,Free
10 January 2012,MF,Damián Ismodes,Cienciano,End of loan spell
20 January 2012,FW,Raúl Ruidíaz,U. de Chile,Free
30 January 2012,DF,Jesús Rabanal,Alianza Lima,Free
16 February 2012,MF,Willyan Mimbela,Internacional,Free
January 2012,DF,Víctor Balta,FBC Melgar,
January 2012,FW,Mario Soto,,
January 2012,MF,José Mendoza,Sport Huancayo,
January 2012,MF,Carlos Uribe,César Vallejo,
January 2013,FW,Andy Polo,Genoa,1.5 Million
January 2013,MF,Alvaro Ampuero,Parma,
