Name,Species,Origin,Notes
Alice Fefferman,Elephant,Summer Camp Island,
Besthe,Hippopotamus,The Lion Guard,The strongest member of the Lion Guard and one of Kion 's friends
Bing Bong,Part-Elephant,Inside Out,Riley 's Cotton Candy Imaginary Friend
Boss Rhino,Rhinoceros,Kimba the White Lion,
Burt,Asian Elephant,The Penguins of Madagascar,
Clam,Rhinoceros,Camp Lazlo,In the show
Doctor El,Elephant ( mutant ),Teenage Mutant Ninja Turtles,A witch doctor
Dumbo,Elephant,Dumbo,"An elephant with big ears , and he can fly , which happens towards the end of the film"
Elephanchine,Elephant,Fantasia,A ballet dancing obese elephant who leads other dancing elephants and gets a bubble stuck on her foot
Ellie,Woolly mammoth,Ice Age : The Meltdown,"At first thinks she 's a possum , until Manny convinced her that she 's just like him ; a mammoth . Is Peaches ' mother and Manny 's wife . Is more openhearted to Peaches than Manny is when her only daughter becomes an adolescent . voiced by Queen Latifah"
Elly,Elephant,Pocoyo,"A female pink elephant who always wears a blue backpack . She loves making biscuits and tea , and has a doll that she loves very much . Despite her size , she is graceful and gentle , capable of ballet dancing . She is , however , very bossy and generally does things her way . She usually rides around on her pink scooter"
Elmer Elephant,Elephant,Silly Symphonies,Disney cartoon short . ( Not to be confused with Elmer the Patchwork Elephant )
Endugu,Elephant,My Gym Partner 's a Monkey,
Ethan,Woolly mammoth,Ice Age : Continental Drift,A teenage mammoth on whom Peaches has a crush
Flavio and Marita,Hippos,Animaniacs,"Known as the Hip Hippos , a wealthy , Spanish hippo couple obsessed with being trendy . Sometimes they have been in dangerous situations , but usually remain unaware of it and rarely suffer harm , mainly due to their large frames"
Fingertip,Asian elephant,Wild Kratts,An Asian elephant calf who first appeared in Elephant Brains ! . Martin named her that because of her one trunk finger . She than helped the wild kratts crew free her herd from Paisley Paver
Funkfreed,Elephant,One Piece,
Gazpacho,Mammoth,Chowder,A mammoth who works at a market
Golias,Elephant,My Big Big Friend,"A large , round , blue elephant who is Yuri 's Big Big Friend"
Goliath II,Elephant,Goliath II,A very small elephant who has trouble fitting in with the herd
