Season,Rising Star,Team
2004-05,Erazem Lorbek,Climamio Bologna
2005-06,Andrea Bargnani,Benetton Treviso
2006-07,Rudy Fernández,DKV Joventut
2007-08,Danilo Gallinari,Armani Jeans Milano
2008-09,Novica Veličković,Partizan
2009-10,Ricky Rubio,Regal FC Barcelona
2010-11,Nikola Mirotić,Real Madrid
2011-12,Nikola Mirotić ( 2× ),Real Madrid
2012-13,Kostas Papanikolaou,Olympiacos
2013-14,Bogdan Bogdanović,Partizan
2014-15,Bogdan Bogdanović ( 2× ),Fenerbahçe Ülker
2015-16,Álex Abrines,FC Barcelona Lassa
2016-17,Luka Dončić,Real Madrid
2017-18,Luka Dončić ( 2× ),Real Madrid
2018-19,Goga Bitadze,Budućnost VOLI
