Country,Neighbour,Border length ( km ),Border length ( mi )
Brunei,Malaysia,381,237
Canada,United States,"8,893","5,526"
Denmark,Germany,68,42
Dominican Republic,Haiti,360,220
The Gambia,Senegal,740,460
Haiti,Dominican Republic,360,220
Ireland,United Kingdom,360,220
Lesotho,South Africa,909,565
Monaco,France,4.4,2.7
Papua New Guinea,Indonesia,820,510
Portugal,Spain,"1,214",754
Qatar,Saudi Arabia,60,37
San Marino,Italy,39,24
South Korea,North Korea,238,148
Timor-Leste,Indonesia,228,142
United Kingdom,Ireland,360,220
Vatican City,Italy,3.2,2.0
