Year,Lok Sabha Election,Winning Party/Coalition,Total Seats,Seats won
1951,First Lok Sabha,Indian National Congress,,
1957,Second Lok Sabha,Indian National Congress,,
1962,Third Lok Sabha,Indian National Congress,,
1967,Fourth Lok Sabha,United Front ( DMK / SWA / CPM / ML ) *,,
1971,Fifth Lok Sabha,Congress ( Indira ) alliance ( DMK/INC/ CPI / FBL /ML ),,
1977,Sixth Lok Sabha,Congress ( Indira ) alliance ( ADMK /INC/CPI ) *,39,34
1980,Seventh Lok Sabha,"Congress ( Indira ) alliance ( DMK/INC/ML ) - 37/39 , AIADMK - 2 seats",39,37
1984,Eighth Lok Sabha,Congress alliance ( ADMK/INC ),39,37
1989,Ninth Lok Sabha,Congress alliance ( ADMK/INC ),39,38
1991,Tenth Lok Sabha,Congress alliance ( ADMK/INC ),39,39
1996,Eleventh Lok Sabha,United Front ( DMK/TMC/CPI ),39,39
1998,Twelfth Lok Sabha,"National Democratic Alliance ( ADMK/ BJP / PMK / MDMK / JP / TRC ) - 30/39 , DMK+TMC= 8-9 seats",39,30
1999,Thirteenth Lok Sabha,National Democratic Alliance ( DMK/BJP/PMK/MDMK/ MADMK ) - 26/39 seats,39,26
2004,Fourteenth Lok Sabha,United Progressive Alliance ( DMK/INC/PMK/MDMK/CPI/CPM ) - 39/39,39,39
2009,Fifteenth Lok Sabha,United Progressive Alliance ( DMK/INC/ VCK ) 27 out of 39 ; ADMK - 10-12 seats,39,27
2014,Sixteenth Lok Sabha,All India Anna Dravida Munnetra Kazhagam ( 37 out of 39 ),39,37
2019,Seventeenth Lok Sabha,"United Progressive Alliance ( DMK 23/INC 8 seats/VCK/MDMK/CPI/CPM/IUML/IJK/KMDK ) - 37/38 , ADMK - 1 seat",38,37
