Mayor,Mayoral term,Other offices held
John W. Geary,1850-1851,Territorial Governor of Kansas ( 1856-1857 ) Governor of Pennsylvania ( 1867-1873 )
Stephen Palfrey Webb,1854-1855,"Mayor of Salem , Massachusetts ( 1842-1844 , 1860-1862 )"
James Van Ness,1855-1856,California State Senator ( 1871 )
Maurice Carey Blake,1881-1883,California State Assemblyman ( 1857-1858 )
Washington Bartlett,1883-1887,California State Senator ( 1873-1877 ) Governor of California ( 1887 )
James D. Phelan,1897-1902,U.S . Senator from California ( 1915-1921 )
James Rolph,1912-1931,Governor of California * ( 1931-1934 )
John F. Shelley,1964-1968,California State Senator ( 1938-1946 ) U.S. Representative from California ( 1949-1964 )
George Moscone,1976-1978,California State Senator ( 1966-1975 )
Dianne Feinstein,1978-1988,U.S . Senator from California ( 1992-present )
Art Agnos,1988-1992,California State Assemblyman ( 1976-1988 )
Willie Brown,1996-2004,California State Assemblyman ( 1964-1995 )
Gavin Newsom,2004-2011,Lieutenant Governor of California * ( 2011-2019 ) Governor of California ( 2019-present )
