Medal,Name,Sport,Event,Date
Gold,Sergei Martynov,Shooting,Men 's 50 m rifle prone,3 August
Gold,Max Mirnyi Victoria Azarenka,Tennis,Mixed doubles,5 August
Silver,Aliaksandra Herasimenia,Swimming,Women 's 100 m freestyle,2 August
Silver,Aliaksandra Herasimenia,Swimming,Women 's 50 m freestyle,4 August
Silver,Andrei Bahdanovich Aliaksandr Bahdanovich,Canoeing,Men 's C-2 1000 m,9 August
Silver,Raman Piatrushenka Vadzim Makhneu,Canoeing,Men 's K-2 200 m,11 August
Silver,Maryna Hancharova Anastasia Ivankova Nataliya Leshchyk Aliaksandra Narkevich Ksenia Sankovich Alina Tumilovich,Gymnastics,Women 's rhythmic group all-around,12 August
Bronze,Victoria Azarenka,Tennis,Women 's singles,4 August
Bronze,Volha Khudzenka Iryna Pamialova Nadzeya Papok Maryna Pautaran,Canoeing,Women 's K-4 500 m,8 August
Bronze,Liubov Charkashyna,Gymnastics,Women 's rhythmic individual all-around,11 August
