Club,Location,2009 Championship Position,2010 Championship Position
Blackhall Gaels,Batterstown,Non Qualifier,Non Qualifier
Donaghmore/Ashbourne,Ashbourne,Non Qualifier,Quarter Finalist
Duleek/Bellewstown,Duleek,Relegation Play Off,Quarter Finalist
Dunshaughlin,Dunshaughlin,Quarter Finalist,Non Qualifier
Navan O'Mahonys,Navan,Semi Finalist,Non Qualifier
Oldcastle,Oldcastle,Intermediate Champions,Relegation Play Off
Rathkenny,Rathkenny,Relegation Play Off,Semi Finalist
Seneschalstown,Kentstown,Champions,Finalist
Simonstown Gaels,Navan,Non Qualifier,Relegation Play Off
Skryne,Skryne,Quarter Finalist,Champions
St Patricks,Stamullen,Quarter Finalist,Non Qualifier
St Peters Dunboyne,Dunboyne,Quarter Finalist,Semi Finalist
St Ultans,Bohermeen,Non Qualifier,Relegated to Intermediate
Summerhill,Summerhill,Semi Finalist,Non Qualifier
Trim,Trim,Non Qualifier,Non Qualifier
Walterstown,Navan,Relegation Play Off,Quarter Finalist
Wolfe Tones,Donaghpatrick,Finalist,Quarter Finalist
