Date,Venue,Opposing Teams,For,Against,Result
1 May 1980,"Stade Armandie , Agen",Scotland,26,22,Won
7 November 1981,"Stade Jean Dauger , Bayonne",New Zealand,18,28,Lost
11 November 1982,"Stade Maurice Boyau , Dax",Argentina,8,22,Lost
23 November 1983,"Stade Mayol , Toulon",Australia,21,23,Lost
22 October 1985,"Stade Jean-Martinaud , Cognac",Japan,45,4,Won
10 May 1986,"Stade Armandie , Agen",Scotland,32,19,Won
11 November 1986,"Stade Marcel-Deflandre , La Rochelle",New Zealand,12,26,Lost
22 May 1988,"Stade Marcel-Deflandre , La Rochelle",Ireland,41,26,Won
22 October 1989,"Stade Chaban-Delmas , Bordeaux",Fiji,16,32,Lost
27 October 1990,"Stade Armandie , Agen",New Zealand,13,23,Lost
31 October 1992,"Stadium Lille Métropole , Villeneuve-d'Ascq",South Africa,25,20,Won
11 November 1993,"Parc des Sports Marcel Michelin , Clermont-Ferrand",Australia,26,43,Lost
1 November 1995,"Stade Mayol , Toulon",New Zealand,19,34,Lost
23 November 1996,"Stade Amédée-Domenech , Brive",South Africa,30,22,Won
11 November 1997,"Parc des Sports Aguiléra , Biarritz",South Africa,40,22,Won
11 November 1998,"Stade Pierre Rajon , Bourgoin-Jallieu",Argentina,38,30,Won
27 May 2000,"Millennium Stadium , Cardiff",Wales,33,40,Lost
7 November 2000,"Stade Félix-Bollaert , Lens",New Zealand,23,21,Won
18 November 2001,"Stade Mayol , Toulon",Fiji,15,17,Lost
20 September 2003,"Parc des Sports et de l'Amitié , Narbonne",XV des Présidents,12,83,Lost
