Year,Album,Label,Personnel
1967,Libra,Milestone,"Jimmy Owens , Albert Daily , Richard Davis , Billy Higgins"
1968,Another Earth,Milestone,"Charles Tolliver , Pharoah Sanders , Stanley Cowell , Reggie Workman , Freddie Waits"
1969,Home !,Milestone,"Woody Shaw , Albert Dailey , Bob Cunningham , Rashied Ali"
1970,Harlem Bush Music - Taifa,Milestone,"Nat Bettis , Andy Bey , Harold White"
1971,Harlem Bush Music - Uhuru,Milestone,"Ron Carter , Juini Booth , Nat Bettis , Andy Bey"
1972,Juju Street Songs,Prestige,"Stafford James , Harvey Mason"
1972,Follow the Medicine Man,Prestige,"Hector Centeno , Hubert Eaves III , Andy Bey"
1973,I 've Known Rivers and Other Bodies,Prestige,"Stafford James , Howard King"
1973,Singerella : A Ghetto Fairy Tale,Prestige,"Hector Centeno , Howard King , Hubert Eaves III , James Benjamin , Kenneth Nash , Maynard Parker"
1973,Altissimo,Philips,"Charlie Mariano , Jackie McLean , Lee Konitz , Joachim Kühn , Han Bennink , Palle Danielsson"
1975,The Shadow Do !,Prestige,"Hubert Eaves III , Michael Henderson , Reggie Lucas , James Mtume , Howard King"
1976,Juju Man,Catalyst,"Curtis Robertson , Howard King , Charles Mims , Syreeta"
1977,Music Is My Sanctuary,Capitol,"Syreeta Wright , Mizell Brothers"
1978,Love Affair,Capitol,"Wah Wah Watson , Dorothy Ashby , Welton Gite , Bill Summers , George Cables , Wade Marcus"
1978,Love Song,Vee-Jay,"George Cables , Curtis Robinson , Howard King , Rita Greene"
1980,Bartz,Arista,"Howard King , Hubert Eaves III"
1988,Monsoon,SteepleChase,"Butch Lacy , Billy Hart , Clint Houston"
1988,Reflections of Monk : The Final Frontier,Steeplechase,"Bob Butta , Geoff Harper , Billy Hart , Eddie Henderson"
1990,West 42nd Street ( Live ),Candid,"Claudio Roditi , John Hicks , Ray Drummond , Al Foster"
1990,There Goes the Neighborhood ( Live ),Candid,"Kenny Barron , Ray Drummond , Ben Riley"
