Team,Winners,Runners-up,Semi-finalists,Total ( Top Four )
Spain,"5 ( 1986 , 1998 , 2011 , 2013 , 2019 )","3 ( 1984 , 1996 , 2017 )",,10
Italy,"5 ( 1992 , 1994 , 1996 , 2000 , 2004 )","2 ( 1986 , 2013 )",5,12
Germany,"2 ( 2009 , 2017 )","2 ( 1982 , 2019 )",1,5
England,"2 ( 1982 , 1984 )",1 ( 2009 ),6,9
Netherlands,"2 ( 2006 , 2007 )",,2,5
Soviet Union,"2 ( 1980 , 1990 )",,1,3
France,1 ( 1988 ),1 ( 2002 ),2,6
Sweden,1 ( 2015 ),1 ( 1992 ),2,5
Czech Republic,1 ( 2002 ),1 ( 2000 ),,3
Yugoslavia,1 ( 1978 ),1 ( 1990 ),2,4
Portugal,,"2 ( 1994 , 2015 )",,3
Serbia,,"2 ( 2004 , 2007 )",1,3
East Germany,,"2 ( 1978 , 1980 )",,2
Greece,,"2 ( 1988 , 1998 )",,2
Switzerland,,1 ( 2011 ),1,2
Ukraine,,1 ( 2006 ),,1
Norway,,,1,2
Scotland,,,2,3
