Pick,Player,Team,Position,School
33,Steve Baron,Seattle Mariners,Catcher,John A. Ferguson High School ( FL )
34,Rex Brothers,Colorado Rockies,Left-handed pitcher,Lipscomb
35,Matthew Davidson,Arizona Diamondbacks,Third baseman,Yucaipa High School ( CA )
36,Aaron Miller,Los Angeles Dodgers,Left-handed pitcher,Baylor
37,James Paxton *,Toronto Blue Jays,Left-handed pitcher,Kentucky
38,Josh Phegley,Chicago White Sox,Catcher,Indiana
39,Kentrail Davis,Milwaukee Brewers,Outfielder,Tennessee
40,Tyler Skaggs,Los Angeles Angels of Anaheim,Left-handed pitcher,Santa Monica High School ( CA )
41,Chris Owings,Arizona Diamondbacks,Shortstop,Gilbert High School ( SC )
42,Garrett Richards,Los Angeles Angels of Anaheim,Right-handed pitcher,Oklahoma
43,Brad Boxberger,Cincinnati Reds,Right-handed pitcher,Southern California
44,Tanner Scheppers,Texas Rangers,Right-handed pitcher,Fresno State
45,Michael Belfiore,Arizona Diamondbacks,Left-handed pitcher,Boston College
46,Matthew Bashore,Minnesota Twins,Left-handed pitcher,Indiana
47,Kyle Heckathorn,Milwaukee Brewers,Right-handed pitcher,Kennesaw State
48,Tyler Kehrer,Los Angeles Angels of Anaheim,Left-handed pitcher,Eastern Illinois
49,Vic Black,Pittsburgh Pirates,Right-handed pitcher,Dallas Baptist
