Pos,Driver,Car,Team,Starts,Poles,Wins,Top 5s,Top 10s,Points ( behind )
1,Jimmie Johnson,No . 48 Chevrolet Monte Carlo SS,Hendrick Motorsports,36,1,5,15,24,6470
2,Matt Kenseth,No . 17 Ford Fusion,Roush Racing,36,1,4,15,21,-56
3,Denny Hamlin *,No . 11 Chevrolet Monte Carlo SS,Joe Gibbs Racing,36,1,2,15,20,-63
4,Kevin Harvick,No . 29 Chevrolet Monte Carlo SS,Richard Childress Racing,36,3,5,8,20,-73
5,"Dale Earnhardt , Jr",No . 8 Chevrolet Monte Carlo SS,"Dale Earnhardt , Inc",36,0,1,10,17,-147
6,Jeff Gordon,No . 24 Chevrolet Monte Carlo SS,Hendrick Motorsports,36,2,2,14,18,-224
7,Jeff Burton,No . 31 Chevrolet Monte Carlo SS,Richard Childress Racing,36,4,1,7,20,-242
8,Kasey Kahne,No . 9 Dodge Charger,Evernham Motorsports,36,5,6,12,19,-297
9,Mark Martin,No . 6 Ford Fusion,Roush Racing,36,0,0,7,15,-302
10,Kyle Busch,No . 5 Chevrolet Monte Carlo SS,Hendrick Motorsports,36,1,1,10,18,-448
