Position,Name,School,ABCA,BA
Pitcher,Curt Krippner,Texas,Y,Y
Pitcher,Derek Lilliquist,Georgia,Y,Y
Pitcher,Mike Remlinger,Dartmouth,Y,-
Pitcher,Richie Lewis ( 2 ),Florida State,-,Y
Pitcher,Anthony Telford,San Jose State,-,Y
Pitcher,Gregg Olson,Auburn,-,Y
Catcher,Darrin Fletcher,Illinois,Y,-
Catcher,Craig Biggio,Seton Hall,-,Y
First baseman,Marteese Robinson,Seton Hall,Y,Y
Second baseman,Torey Lovullo,UCLA,Y,Y
Third baseman,Robin Ventura ( 2 ) ♦,Oklahoma State,Y,Y
Shortstop,Dave Silvestri,Missouri,Y,-
Shortstop,Mike Benjamin,Arizona State,-,Y
Outfielder,Riccardo Ingram,Georgia Tech,Y,Y
Outfielder,Ted Wood,New Orleans,Y,Y
Outfielder,Tim Raley,Wichita State,Y,-
Outfielder,Brian Cisarik,Texas,-,Y
Designated hitter,Jim Ifland,Oklahoma State,Y,-
Designated hitter,Scott Livingstone,Texas A & M,-,Y
Utility player,Mike Willes,BYU,Y,-
