#,#,Restaurant,Location,Original airdate,Share 16-49
132,1,La Cubanita,Sandomierz,"March 5 , 2015","20,76%"
133,2,West End,Piła,"March 12 , 2015","21,38%"
134,3,Pod Złotym Aniołem ( eng . At the Gold Angel ),Bolesławiec,"March 19 , 2015","20,74%"
135,4,U'Bares,Rzeszów,"March 26 , 2015","22,29%"
136,5,Stary Browar ( eng . Old Brewery ),Świdnica,"April 2 , 2015","19,94%"
137,6,Młyn ( eng . Mill ),Bytom,"April 9 , 2015","17,88%"
138,7,Polskie Ranczo ( eng . Polish Rancho ),Bestwinka,"April 16 , 2015","20,31%"
139,8,Remus,Borowo,"April 23 , 2015","21,80%"
140,9,Polski Smak ( eng . Polish Taste ),Katowice,"April 30 , 2015","20,11%"
141,10,Dzikie Wino ( eng . Wild Wine ),Reda,"May 7 , 2015","21,87%"
142,11,Filmowa ( eng . Movie ),Kamieniec Wrocławski,"May 14 , 2015","21,06%"
143,12,Figaro,Elbląg,"May 21 , 2015","18,22%"
144,13,Zielarnia,Olsztynek,"May 28 , 2015","19,89%"
