Company or brand name,Parent company,Headquarters,Countries served,Number of locations
Tesco Express,Tesco PLC,United Kingdom,"United Kingdom , China , Czech Republic , Hungary , Ireland , Malaysia , Philippines , Poland , Slovakia , Thailand , Turkey , United States ( formerly )","6,784"
7-Eleven,Seven & I Holdings Co,Japan,"Japan , United States , Australia , Canada , China ( Hong Kong and Macau ) , Denmark , Indonesia ( formerly ) , Malaysia , Mexico , Norway , Philippines , Singapore , South Korea , Sweden , Taiwan , Thailand , United Arab Emirates , Vietnam","64,319"
Circle K,Alimentation Couche-Tard,Canada,"Canada , United States , China ( Hong Kong and Macau ) , Denmark , Norway , Guam , Honduras , Indonesia , Japan , Malaysia , Mexico , Philippines , Sweden , United Arab Emirates , Vietnam , Egypt","15,000"
CBA,CBA,Hungary,"Bulgaria , Italy , Lithuania , Greece , Czech Republic , Croatia , Hungary , Montenegro , Romania , Serbia , Slovakia","5,200"
FamilyMart,Itochu,Japan,"Japan , Bangladesh , China , North Korea ( formerly ) , Philippines , South Korea ( formerly ) , Indonesia , Taiwan , Thailand , United States , Vietnam , Malaysia ( 2016 )","24,243"
Lawson,Mitsubishi Corporation,Japan,"Japan , China , Indonesia , Philippines , Thailand , United States","16,868"
Ministop,Æon Group,Japan,"Japan , China , Kazakhstan , Philippines , South Korea , Vietnam","5,410"
Carrefour City,Carrefour,France,"France , Italy , Greece , Belgium , Spain , Poland , Pakistan , Brazil , Colombia , Dominican Republic","6,111"
SPAR Express,,Netherlands,"Netherlands , Australia , Austria , Belgium , China , Germany , Ireland , Russia , Slovenia , Switzerland , Thailand , Ukraine , United Kingdom , Zimbabwe","3,600"
OXXO,FEMSA,Mexico,"Mexico , Colombia , Chile , United States","19,350"
