Stadium,City,Seating Capacity
Borg El Arab Stadium,Alexandria,"86,000"
Cairo International Stadium,Cairo,"74,100"
Egyptian Army Stadium,Suez,"45,000"
Osman Ahmed Osman Stadium,Cairo,"35,000"
Al Salam Stadium,Cairo,"30,000"
Fayoum Stadium,Fayoum,"20,000"
Suez Stadium,Suez,"27,000"
Cairo Military Academy Stadium,Cairo,"28,500"
Petrosport Stadium,Cairo,"25,000"
Harras El-Hedoud Stadium,Alexandria,"22,500"
30th of June Stadium,Cairo,"30,000"
El Mansoura Stadium,Mansura,"20,000"
El Mahalla Stadium,Mahalla,"29,000"
Ismailia Stadium,Ismaïlia,"18,525"
Port Said Stadium,Port Said,"17,988"
Asiut University Stadium,Asyut,"16,000"
Tersana Stadium,Giza,"15,000"
El-Shams Stadium,Cairo,"15,000"
Alexandria Stadium,Alexandria,"13,660"
El Gouna Stadium,El Gouna,"13,000"
