Title,Start,End
The Trouble with Tracy,1970,1971
The Odd Couple,1970,1975
McCloud,1970,1977
All in the Family,1971,1979
The Electric Company,1971,1977
Dick Clark 's New Year 's Rockin ' Eve,1972,present
The Super,1972,1972
Bridget Loves Bernie,1972,1973
Madigan,1972,1973
Kojak,1973,1978
Needles and Pins,1973,1973
Rhoda,1974,1978
Baretta,1975,1978
Barney Miller,1975,1982
Ellery Queen,1975,1976
The Jeffersons,1975,1985
Ryan 's Hope,1975,1989
"Welcome Back , Kotter",1975,1979
Saturday Night Live,1975,present
Busting Loose,1977,1977
