Medal,Name,Sport,Event,Date
Gold,Camilla Mancini,Fencing,Cadet Female Foil,15 Aug
Gold,Marco Fichera,Fencing,Cadet Male Épée,16 Aug
Gold,Edoardo Luperi,Fencing,Cadet Male Foil,17 Aug
Gold,Alberta Santuccio Marco Fichera Camilla Mancini Leonardo Affede Edoardo Luperi,Fencing,Mixed team,18 Aug
Gold,Flavio Bizzarri,Swimming,Youth Men 's 200m Breaststroke,18 Aug
Gold,Gloria Filippi,Archery,Mixed team,19 Aug
Gold,Valentina Isoardi,Equestrian,Team Jumping,20 Aug
Gold,Anna Clemente,Athletics,Girls ' 5000m Walk,21 Aug
Silver,Leonardo Affede,Fencing,Cadet Male Sabre,15 Aug
Silver,Martina Carraro,Swimming,Youth Women 's 50m Breaststroke,16 Aug
Silver,Alberta Santuccio,Fencing,Cadet Female Épée,17 Aug
Silver,Elena di Liddo,Swimming,Youth Women 's 50m Butterfly,18 Aug
Silver,Carlotta Ferlito,Gymnastics,Women 's Beam,22 Aug
Silver,Alessia Trost,Athletics,Girls ' High Jump,22 Aug
Silver,Andrea Righettini Alessia Bulleri Nicholas Marini Mattia Furlan,Cycling,Combined Mixed Team,22 Aug
Silver,Marco Lorenzi,Athletics,Boys ' Medley Relay,23 Aug
Silver,Fabio Turchi,Boxing,Men 's Heavy 91kg,25 Aug
Silver,Veronica Fanciulli,Sailing,Windsurfing ( Techno 293 ),25 Aug
Bronze,Flavio Bizzarri,Swimming,Youth Men 's 100m Breaststroke,16 Aug
Bronze,Tommaso Romani,Swimming,Youth Men 's 50m Butterfly,19 Aug
