Church name,Address,Community
Holy Family,18708 South Clarkdale Ave. 33°51′40″N 118°04′45″W / 33.86111°N 118.07917°W / 33.86111 ; -118.07917 ( Holy Family ),Artesia
St. Peter Chanel,12001 East 214 St. 33°50′08″N 118°04′32″W / 33.83556°N 118.07556°W / 33.83556 ; -118.07556 ( St. Peter Chanel ),Hawaiian Gardens
Beatitudes of Our Lord,13013 South Santa Gertrudes Ave. 33°54′45″N 117°59′42″W / 33.91250°N 117.99500°W / 33.91250 ; -117.99500 ( Beatitudes of Our Lord ),La Mirada
St. Paul of the Cross,14020 Foster Rd . 33°54′34″N 118°01′37″W / 33.90944°N 118.02694°W / 33.90944 ; -118.02694 ( St. Paul of the Cross ),La Mirada
Our Lady of Perpetual Help,8545 South Norwalk Blvd . 33°57′49″N 118°04′16″W / 33.96361°N 118.07111°W / 33.96361 ; -118.07111 ( Our Lady of Perpetual Help ),Los Nietos
St. John of God,13819 South Pioneer Blvd . 33°54′21″N 118°05′01″W / 33.90583°N 118.08361°W / 33.90583 ; -118.08361 ( St. John of God ),Norwalk
St. Linus,13915 Shoemaker Ave. 33°54′17″N 118°03′19″W / 33.90472°N 118.05528°W / 33.90472 ; -118.05528 ( St. Linus ),Norwalk
St. Francis Xavier,4245 South Acacia Ave. 34°00′44″N 118°04′56″W / 34.01222°N 118.08222°W / 34.01222 ; -118.08222 ( St. Francis Xavier ),Pico Rivera
St. Hilary,5465 South Citronell Ave. 33°59′37″N 118°05′04″W / 33.99361°N 118.08444°W / 33.99361 ; -118.08444 ( St. Hilary ),Pico Rivera
St. Mariana de Paredes,7922 S. Passons Blvd . 33°57′58″N 118°05′44″W / 33.96611°N 118.09556°W / 33.96611 ; -118.09556 ( St. Mariana de Paredes ),Pico Rivera
St. Pius X,10827 S. Pioneer Blvd . 33°56′04″N 118°04′55″W / 33.93444°N 118.08194°W / 33.93444 ; -118.08194 ( St. Pius X ),Santa Fe Springs
St. Bruno,15740 Citrustree Rd . 33°56′14″N 117°59′38″W / 33.93722°N 117.99389°W / 33.93722 ; -117.99389 ( St. Bruno ),Whittier
St. Mary of the Assumption,7215 Newlin Ave. 33°58′36″N 118°02′28″W / 33.97667°N 118.04111°W / 33.97667 ; -118.04111 ( St. Mary of the Assumption ),Whittier
St. Gregory the Great,13935 Telegraph Rd . 33°55′59″N 118°02′02″W / 33.93306°N 118.03389°W / 33.93306 ; -118.03389 ( St. Gregory the Great ),South Whittier
