Medal,Name,Sport,Event,Date
Gold,Irek Zaripov,Biathlon,"Men 's 2.4 km Pursuit , sitting",March 13
Gold,Kirill Mikhaylov,Biathlon,"Men 's 3 km Pursuit , standing",March 13
Gold,Anna Burmistrova,Biathlon,"Women 's 3 km Pursuit , standing",March 13
Gold,Irek Zaripov,Cross-country skiing,"Men 's 15 km , sitting",March 14
Gold,Kirill Mikhaylov,Cross-country skiing,"Men 's 20 km Free , standing",March 15
Gold,Anna Burmistrova,Cross-country skiing,"Women 's 15 km Free , standing",March 15
Gold,Irek Zaripov,Biathlon,"Men 's 12.5 km Individual , sitting",March 17
Gold,Maria Iovleva,Biathlon,"Women 's 10 km Individual , sitting",March 17
Gold,Irek Zaripov,Cross-country skiing,"Men 's 10 km , sitting",March 18
Gold,Liubov Vasilyeva Mikhalina Lysova Maria Iovleva,Cross-country skiing,Women 's 3×2.5 km Relay,March 20
Gold,Sergey Shilov Kirill Mikhaylov Nikolay Polukhin,Cross-country skiing,Men 's 1×4 km + 2×5 km Relay,March 20
Gold,Sergey Shilov,Cross-country skiing,"Men 's 1 km Sprint , sitting",March 21
Silver,Maria Iovleva,Biathlon,"Women 's 2.4 km Pursuit , sitting",March 13
Silver,Nikolay Polukhin,Biathlon,"Men 's 3 km Pursuit , visually impaired",March 13
Silver,Liubov Vasilyeva,Biathlon,"Women 's 3 km Pursuit , visually impaired",March 13
Silver,Roman Petushkov,Cross-country skiing,"Men 's 15 km , sitting",March 14
Silver,Nikolay Polukhin,Cross-country skiing,"Men 's 20 km Free , visually impaired",March 15
Silver,Liubov Vasilyeva,Cross-country skiing,"Women 's 15 km Free , visually impaired",March 15
Silver,Vladimir Kiselev,Biathlon,"Men 's 12.5 km Individual , sitting",March 17
Silver,Anna Burmistrova,Biathlon,"Women 's 12.5 km Individual , standing",March 17
