Denomination,Obverse,Reverse,Date of issue,Replaced by Kčs
5 korún 122 × 59 mm,10-year-old girl Hanička Ištvanikova,Motives of Slovak nature,15 February 1945,31 October 1945
10 korún 142 × 72 mm,Catholic priest Andrej Hlinka,"Young girl , Value",23 October 1939,31 October 1945
10 korún 131 × 62 mm,Linguist Ľudovít Štúr,Slovak manufacture products,26 October 1944,31 October 1945
20 korún 153 × 76 mm,Catholic priest Andrej Hlinka,Tomb of Milan Rastislav Štefánik on the Bradlo Hill,9 December 1939,31 October 1945
20 korún 139 × 67 mm,Poet and translator Ján Hollý,Slovak dining utensils,25 September 1943,31 October 1945
50 korún 127 × 67 mm,Children with Slovak Kroje,Orava Castle,18 December 1940,31 October 1945
100 korún 127 × 73 mm,Prince Pribina,Slavic inhabitant,1 September 1941,31 October 1945
500 korún 175 × 85 mm,"National highwayman , Juraj Jánošík",Tatra Mountains,26 October 1944,31 October 1945
1000 korún 192 × 90 mm,Svatopluk I of Great Moravia,Coat of arms of Slovakia,17 August 1942,31 October 1945
5000 korún 203 × 96 mm,Mojmir I of Moravia,Coat of arms of Slovakia,Only printed,Only printed
