Year,Title,Role
2005,MTB : Ang Saya Saya,Himself - Host
2005,Vietnam Rose,Tran Him Hahn-Trihn
2006,The Buzz,Himself - Host
2007,Rounin,Braullo
2007,U Can Dance Version 2,Himself - Contestant
2008,Eva Fonda,Martin
2009,Precious Heart Romances : The Bud Brothers,Anton
2009-11,Show Me Da Manny,Marco Antonio Barreiro
2009-10,Ikaw Sana,Dominic
2011,Amaya,Paratawag
2012,My Beloved,Warren
2012,Tweets For My Sweet,Ariel
2013,Never Say Goodbye,Steve
2013,Huwag Ka Lang Mawawala,Edgar
2013,Maghihintay Pa Rin,Lance
2014,Moon of Desire,Caleb
2014,Sa Puso ni Dok,Jomar
2015,Bridges of Love,Louie Sandejas
2015,Pasión de amor,Daniel Burgos
2016,Tubig at Langis,Matteo
