Name,Moving from,Moving to
Jesmond Zerafa,Qormi,Valletta
Jordi Cruyff,Valletta assistant manager,AEK Larnaca technical director
Ton Caanen,Valletta,AEK Larnaca
Jesmond Zammit,Dingli Swallows,released
Jesmond Zerafa,unattached,Valletta
Jesmond Zammit,unattached,Valletta team manager
Stephen Azzopardi,unattached,Qormi
Zoran Popovic,Floriana,released
Todor Raykov,unattached,Floriana
Robert Magro,unattached,Dingli Swallows
Keith Gouder,Msida Saint-Joseph,released
Iro Curmi,unattached,Msida Saint-Joseph
