Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Mike Lewis,DT,Arkansas AM & N,Ind . ( Coll . )
Buffalo Bills,Tony Greene,S,Maryland,ACC
Dallas Cowboys,Toni Fritsch,K,,
Green Bay Packers,Jim DeLisle,DT,Wisconsin,Big Ten
Green Bay Packers,Tim Webster,K,Arkansas,SWC
Los Angeles Rams,Matt Maslowski,WR,San Diego,Ind . ( Coll . )
Miami Dolphins,Jim Del Gaizo,QB,Tampa,Ind . ( Coll . )
Miami Dolphins,Maulty Moore,DT,Bethune-Cookman,SIAC
Minnesota Vikings,Chuck Winfrey,LB,Wisconsin,Big Ten
New England Patriots,Kenny Price,LB,Iowa,Big Ten
Pittsburgh Steelers,Glen Edwards,S,Florida A & M,SIAC
