1,Alexander ( Pierce County ),Alexander ( Stutsman County )
2,Banner ( Cavalier County ),Banner ( Mountrail County )
3,Berlin ( Cass County ),Berlin ( Sheridan County )
4,Big Bend ( Mountrail County ),Big Bend ( Ransom County )
5,Campbell ( Emmons County ),Campbell ( Hettinger County )
6,Clear Lake ( Burleigh County ),Clear Lake ( Kidder County )
7,East Fork ( Benson County ),East Fork ( Williams County )
8,Elm ( Dickey County ),Elm ( Grant County )
9,Fertile ( Mountrail County ),Fertile ( Walsh County )
10,Greenfield ( Griggs County ),Greenfield ( Traill County )
11,Hamburg ( Dickey County ),Hamburg ( Wells County )
12,Hawkeye ( Divide County ),Hawkeye ( McKenzie County )
13,Highland ( Cass County ),Highland ( Hettinger County )
14,Hillsdale ( Eddy County ),Hillsdale ( Wells County )
15,Hope ( Cavalier County ),Hope ( Ramsey County )
16,Lake Williams ( Kidder County ),Lake Williams ( McLean County )
17,Liberty ( Mountrail County ),Liberty ( Ransom County )
18,Martin ( Sheridan County ),Martin ( Walsh County )
19,Michigan ( Grand Forks County ),Michigan ( Nelson County )
20,Northwest ( Dickey County ),Northwest ( Kidder County )
21,Odessa ( Hettinger County ),Odessa ( Ramsey County )
