Edition,Year,Host city,Host country,Date
1st,1997,Barakaldo,Spain,5 April
2nd,1998,Lisbon,Portugal,4 April
3rd,1999,Barakaldo,Spain,10 April
4th,2000,Lisbon,Portugal,1 April
5th,2001,Barakaldo,Spain,7 April
6th,2002,Camaiore,Italy,6 April
7th,2003,Athens,Greece,12 April
8th,2004,Maribor,Slovenia,3 April
9th,2005,Barakaldo,Spain,2 April
10th,2006,Antalya,Turkey,15 April
11th,2007,Ferrara,Italy,7 April
12th,2008,Istanbul,Turkey,12 April
13th,2009,Ribeira Brava,Portugal,6 June
14th,2010,Marseilles,France,5 June
15th,2011,Oslo,Norway,4 June
16th,2012,Bilbao,Spain,3 June
17th,2013,Pravets,Bulgaria,8 June
18th,2014,Skopje,Republic of Macedonia,7 June
19th,2015,Cagliari,Italy,6 June
20th,2016,Mersin,Turkey,5 June
