Position,Name,School,ABCA,BA,CB
Pitcher,Matt Anderson,Rice,Y,Y,Y
Pitcher,Dan Reichert,Pacific,Y,Y,Y
Pitcher,Chris Enochs,West Virginia,Y,-,Y
Pitcher,Jason Gooding,Texas Tech,Y,-,Y
Pitcher,Jason Navarro,Tulane,Y,-,-
Pitcher,Clay Eason,North Carolina State,-,-,Y
Pitcher,Jim Parque,UCLA,-,Y,-
Pitcher,Kyle Peterson ( 2 ),Stanford,-,Y,-
Pitcher,Ara Petrosian,Long Beach State,-,-,Y
Pitcher,Jeff Weaver,Fresno State,-,Y,-
Catcher,Giuseppe Chiaramonte,Fresno State,Y,-,Y
Catcher,Matthew LeCroy,Clemson,-,Y,-
First baseman,Lance Berkman,Rice,Y,Y,Y
Second baseman,Keith Ginter,Texas Tech,Y,-,Y
Second baseman,Tom Sergio,North Carolina State,-,Y,-
Third baseman,Pat Burrell ( 2 ),Miami,Y,Y,Y
Third baseman,Troy Glaus,UCLA,-,Y,-
Shortstop,Brandon Larson,LSU,Y,Y,-
Shortstop,Adam Kennedy,Cal State Northridge,-,-,Y
Outfielder,J. D. Drew ( 2 ),Florida State,Y,Y,Y
