No,Pos,Name,Age,From
1,GK,Mohd Yatim Abdullah,22,Negeri Sembilan U21
4,DF,Jean Alexandre,28,Orlando City
10,FW,Jean-Emmanuel Effa Owona,31,Terengganu FA
11,MF,Mohd Shoufiq Khusaini,25,Johor Darul Ta'zim II F.C
12,MF,G. Puaneswaran,31,Terengganu FA
13,DF,K. Nanthakumar,37,Kelantan FA
14,MF,V. Kavi Chelvan,25,Selangor FA
15,MF,Kim Jin-Ryong,32,Gangwon FC
18,DF,Muszaki Abu Bakar,25,Free Agent
19,MF,M. Sivakumar,30,Perak FA
20,DF,Dzaiddin Zainuddin,22,DRB-Hicom F.C
23,DF,Mohd Nizam Abu Bakar,30,Felda United F.C
24,DF,Sumardi Hajalan,29,Sabah FA
25,FW,Jozef Kapláň,28,Geylang International FC
31,DF,Segar Arumugam,21,Negeri Sembilan U21
33,MF,Thanabalan Nadarajah,19,Negeri Sembilan U21
