Rank,Airport,Serves,Total passengers,Annual change
1,Toronto Pearson International Airport,Greater Toronto Area,,
2,Vancouver International Airport,Metro Vancouver,"26,395,820",1.8%
3,Montréal-Trudeau International Airport,Greater Montreal,,
4,Calgary International Airport,Calgary Region,"17,957,780",3.54%
5,Edmonton International Airport,Edmonton Metropolitan Region,"8,151,532",1.2%
6,Ottawa Macdonald-Cartier International Airport,National Capital Region,"5,106,487",0.1%
7,Winnipeg James Armstrong Richardson International Airport,Winnipeg Capital Region,"4,500,000",0.0%
8,Halifax Stanfield International Airport,Halifax,"4,188,443",3.0%
9,Billy Bishop Toronto City Airport,Toronto,,
10,Kelowna International Airport,Kelowna / Okanagan Valley,"2,032,144",1.3%
11,Victoria International Airport,Greater Victoria,"1,924,385",6.1%
12,Québec City Jean Lesage International Airport,Quebec City,,
13,St. John 's International Airport,St. John 's,,
14,Saskatoon John G. Diefenbaker International Airport,Saskatoon,"1,490,000",1.9%
15,Regina International Airport,Regina,,
16,Thunder Bay International Airport,Thunder Bay,,
17,Abbotsford International Airport,Abbotsford / Fraser Valley,"1,000,000+",18.7%
18,John C. Munro Hamilton International Airport,Hamilton,"955,373",32%
19,London International Airport,London,"683,155",27%
20,Greater Moncton Roméo LeBlanc International Airport,Greater Moncton,"674,406",1.0%
