No,President,Club,Tenure
1,"William Clarke , MLC",Melbourne,1877-1881
2,Cr James Garton,,1882-1886
3,Frank Grey Smith,Melbourne,1887-1896
4,"Theodore Fink , MLA",Richmond,1897-1900
5,James Hall,Williamstown,1901-1902
6,Cr John George Aikman,Essendon ( A . ),1903-1928
7,Cr John James Liston,Williamstown,1929-1944
8,"Henry Zwar , MLA",Preston,1944-1946
9,"Squire Reid , MLA",Oakleigh,1947-1949
10,Dr Frank Hartnett,Camberwell,1949-1950
11,Lewis Page,Brighton,1951-1953
12,Cr Alex Gillon,Brunswick,1954-1980
13,Alan Wickes,Frankston,1981-1984
14,Brook Andersen,Brunswick,1985-1989
15,John Grieve,Williamstown,1989-1992
16,Tony Hannebery,Williamstown,1993-1994
