Flag,Dates used,Ukrainian text,English translation
Cherkasy,-present,ЧЕРКАСИ,CHERKASY
Dnipropetrovsk,2013-present,ДІНПРОПЕТРОВСЬК,DNIPROPETROVSK
Free Territory,1918-21,"СМЕРТЬ ВСІМ , ХТО НА ПИРИШКОДІ ДОБУТЬЯ BІЛЬОСТІ ТРУДОВОМУ ЛЮДУ",DEATH TO ALL WHO STAND IN THE WAY OF OBTAINING THE FREEDOM OF WORKING PEOPLE
Kherson,-present,1778,1778
Kropyvnytskyi,-present,CЄ [ abbreviation of С вятий Є лизавети ],SE [ abbreviation of S aint E lizabeth ]
Luhansk,-present,1 . E 2 . 1795,1 . E 2 . 1795
Mariupol,-present,1 . МАРІУПОЛЬ 2 . 1778,1 . MARIUPOL 2 . 1778
Moldavian ASSR,1937-38,1 . УРСР [ abbreviation of У країнська Р адянська С оціалістична Р еспубліка ] 2 . Молдавська АРСР,1 . USSR [ abbreviation of U krainian S oviet S ocialist R epublic ] 2 . Moldavian ASSR
Moldavian ASSR,1938-40,1 . УРСР [ abbreviation of У країнська Р адянська С оціалістична Р еспубліка ] 2 . Молдавська АРСР,1 . USSR [ abbreviation of U krainian S oviet S ocialist R epublic ] 2 . Moldavian ASSR
Poltava,-present,ПОЛ†АВА,POLTAVA
Ukrainian SSR,1929-37,У.C.P.Р . [ abbreviation of У країнська С оціалістична Р адянська Р еспубліка ],U.S.S.R. [ abbreviation of U krainian S ocialist S oviet R epublic ]
Ukrainian SSR,1937-49,УРСР [ abbreviation of У країнська Р адянська С оціалістична Р еспубліка ],USSR [ abbreviation of U krainian S oviet S ocialist R epublic ]
Zaporizhia Oblast,-present,ЗаПОРіЗЬКа ОБЛаСТЬ,ZAPORIZHIA OBLAST
