Year,Title,Role
1981,The Fan,Saleswoman in record store
1984,Almost You,Susan McCall
1986,Where the River Runs Black,Sister Ana
1988,Masquerade,Anne Briscoe
1988,Patty Hearst,Gelina
1988,Moon over Parador,Jenny
1992,Light Sleeper,Marianne
1992,Housesitter,Becky Metcalf
1993,Tombstone,Josephine Marcus
1993,Batman : Mask of the Phantasm,Andrea Beaumont
1994,Exit to Eden,Lisa Emerson
1995,Live Nude Girls,Jill
1996,Fly Away Home,Susan Barnes
1998,The Curve,Dr. Ashley
1998,Wide Awake,Mrs. Beal
1999,Outfitters,Cat Bonfaim
2000,The Right Temptation,Anthea Farrow-Smith
2002,Mother Ghost,Karen Bennett
2003,Spin,Margaret Swift-Bejarano
2005,Getting to Know You,Marla
