Date,Tournament,Location,Prize fund ( ¥ ),Winner,OWGR pts
17 Apr,Token Homemate Cup,Mie,"130,000,000",Tadahiro Takayama ( 4 ),20
24 Apr,Tsuruya Open,Hyōgo,"120,000,000",Tomohiro Kondo ( 5 ),22
1 May,The Crowns,Aichi,"120,000,000",Brendan Jones ( 10 ),18
15 May,Japan PGA Championship Nissin Cupnoodle Cup,Hyogo,"150,000,000",Hiroo Kawai ( 1 ),22
22 May,Totoumi Hamamatsu Open,Shizuoka,"100,000,000",Masanori Kobayashi ( 1 ),18
29 May,Diamond Cup Golf,Chiba,"120,000,000",Koumei Oda ( 5 ),22
5 Jun,Japan Golf Tour Championship Citibank Cup Shishido Hills,Ibaraki,"150,000,000",Park Jae-bum ( 1 ),18
26 Jun,Gateway to the Open Mizuno Open,Okayama,"110,000,000",Hwang Jung-gon ( 1 ),22
24 Jul,Nagashima Shigeo Invitational Sega Sammy Cup,Hokkaidō,"130,000,000",Kim Kyung-tae ( 4 ),20
31 Jul,Sun Chlorella Classic,Hokkaidō,"150,000,000",Yuta Ikeda ( 9 ),18
21 Aug,Kansai Open Golf Championship,Hyogo,"50,000,000",Cho Min-gyu ( 1 ),16
28 Aug,Vana H Cup KBC Augusta,Fukuoka,"110,000,000",Bae Sang-moon ( 1 ),20
4 Sep,Fujisankei Classic,Yamanashi,"110,000,000",Masatsugu Morofuji ( 1 ),16
11 Sep,Toshin Golf Tournament in LakeWood,Mie,"70,000,000",Lee Dong-hwan ( 2 ),16
18 Sep,ANA Open,Hokkaidō,"110,000,000",Kurt Barnes ( 1 ),22
25 Sep,Asia-Pacific Panasonic Open,Shiga,"150,000,000",Tetsuji Hiratsuka ( 6 ),22
2 Oct,Coca-Cola Tokai Classic,Aichi,"120,000,000",Bae Sang-moon ( 2 ),18
9 Oct,Canon Open,Kanagawa,"150,000,000",Kenichi Kuboya ( 5 ),20
16 Oct,Japan Open Golf Championship,Chiba,"200,000,000",Bae Sang-moon ( 3 ),32
23 Oct,Bridgestone Open,Chiba,"150,000,000",Toru Taniguchi ( 17 ),22
