Region,Rnd,Host,Venue,City,State
East,1,Saint Joseph 's University,Alumni Memorial Fieldhouse,Philadelphia,Pennsylvania
East,1,Duke University,Cameron Indoor Stadium,Durham,North Carolina
East,2,University of Texas,Frank Erwin Center,Austin,Texas
East,2,Rutgers University,Louis Brown Athletic Center,Piscataway,New Jersey
East,2,James Madison University,James Madison University Convocation Center,Harrisonburg,Virginia
East,2,Villanova University,The Pavilion,Villanova,Pennsylvania
Mideast,1,University of Illinois,Assembly Hall ( Champaign ),Champaign,Illinois
Mideast,1,Tennessee Tech,Eblen Center,Cookeville,Tennessee
Mideast,2,University of North Carolina,Carmichael Auditorium,Chapel Hill,North Carolina
Mideast,2,Auburn University,Memorial Coliseum ( Beard-Eaves-Memorial Coliseum ),Auburn,Alabama
Mideast,2,University of Tennessee,Stokely Athletic Center,Knoxville,Tennessee
Mideast,2,University of Virginia,University Hall ( University of Virginia ),Charlottesville,Virginia
Midwest,1,Northwestern University,Welsh-Ryan Arena,Evanston,Illinois
Midwest,2,University of Iowa,Carver-Hawkeye Arena,Iowa City,Indiana
Midwest,2,University of Louisiana at Monroe,Ewing Coliseum,Monroe,Louisiana
Midwest,2,University of Georgia,Georgia Coliseum ( Stegeman Coliseum ),Athens,Georgia
Midwest,2,Louisiana State University,LSU Assembly Center ( Pete Maravich Assembly Center ),Baton Rouge,Louisiana
Midwest,2,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
West,1,University of Washington,Hec Edmundson Pavilion,Seattle,Washington
West,1,University of Oregon,McArthur Court,Eugene,Oregon
