Caliber ( mm ),Weapon name,Country of origin,Period
37,3.7 cm Infanteriegeschütz M.15,Austria-Hungary,World War I/World War II
37,Canon d'Infanterie de 37 modèle 1916 TRP,France,World War I
37,Type 11 infantry gun,Japan,World War II
37,37-mm trench gun M1915,Russian Empire,World War I
37,37 mm Infantry Gun Model 1917,United States,World War I
38.1,Hughes breech-loading cannon,Confederate States of America,American Civil War
40,"1.59 inch Breech-Loading Vickers Q.F . Gun , Mk II",United Kingdom,World War I
53,5.3 cm Fahrpanzer,German Empire,World War I
57,5.7 cm Maxim-Nordenfelt,United Kingdom,World War I
75,Bofors 75 mm L/20 & L/22,Sweden,Interwar
75,leIG 18,Nazi Germany,World War II
75,leIG 18 F,Nazi Germany,World War II
75,7.5 cm Infanteriegeschütz 37,Nazi Germany,World War II
75,7.5 cm Infanteriegeschütz 42,Nazi Germany,World War II
76,76 mm Canon de 76 Fonderie Royale des Canons,Belgium,Interwar/World War II
76.2,7.62 cm Infanteriegeschütz L/16.5,German Empire,World War I
77,7.7 cm Infanteriegeschütz L/20,German Empire,World War I
77,7.7 cm Infanteriegeschütz L/27,German Empire,World War I
150,15 cm sIG 33,Nazi Germany,World War II
152,152 mm mortar M1931 ( NM ),Soviet Union,World War II
