Name,Location,Diameter ( km ),Age ( years ),Probability
Alamo bolide impact,"Nevada , USA",unknown,367 million,
Bow City,Alberta,8 km,70 million,
Corossol,Quebec,4 km,2.6 million,
Decorah crater,"Iowa , USA",5.6,470 million,2 ( probable )
Gatun structure,Panama,2.7-3.0,20 million,2 ( probable )
Pantasma,Nicaragua,10,1 million,4 ( not probable )
Jeptha Knob,"Kentucky , USA",4.3,425 million,2 ( probable )
Panther Mountain,"New York , USA",10,375 million,2 ( probable )
Snows Island,"South Carolina , USA",11,unknown,2 ( probable )
Toms Canyon,"New Jersey , USA",22,35 million,2 ( probable )
Victoria Island structure,"California , USA",5.5,37-49 million,2 ( probable )
Weaubleau-Osceola,"Missouri , USA",15-20,325.0 ± 15.0 million,2 ( probable )
Brushy Creek Feature,"Louisiana , USA",2,"11,000 - 30,000 years",2 ( probable )
