Name,M,G,Degree,Notes
Arthur Church ( F ),1891,1894,BA Natural Science ( Botany ) ( 1st ),"University Reader in Botany ( 1910-1930 ) , elected a Fellow of the Royal Society in 1921"
Francis Cole,1901,1904 ?,?,"Professor of Zoology at Reading University ( 1906-1939 ) , founder of the Cole Museum of Zoology"
Hugh Davies,1757,1762,BA,"Welsh clergyman and botanist , whose main work , Welsh Botanology ( 1813 ) , was the first to cross-reference the names of plants in Welsh with their scientific names"
William Weekes Fowler,-,1873,BA,"Matriculated at New College before transferring to Jesus with a scholarship ; a clergyman , headmaster and entomologist who was President of the Incorporated Association of Head Masters and President of the Entomological Society of London"
Walter Garstang,1884,1888,BA Natural Science ( Animal Morphology ) ( 2nd ),Invertebrate zoologist and marine biologist
James Brontë Gatenby,1913,1920,"BA Zoology ( 1st , 1916 ) , DPhil ( 1920 )","Professor of zoology and comparative anatomy at Trinity College , Dublin"
Edward Lhuyd,1682,1685 DNG,-,"Naturalist , botanist , linguist , geographer and antiquary"
Robert Cyril Layton Perkins,1885,1889,BA Natural Science ( Animal Morphology ) ( 4th ),"Entomologist , noted for his work on the fauna of the islands of Hawaii"
Edward Bagnall Poulton ( F ),1873,1876,BA Natural Science ( 1st ),Appointed Hope Professor of Zoology in 1893
Ronald Winckworth,1906,1910,BA Mathematics,"Natural historian , President of the Conchological Society of Great Britain and Ireland and Vice-President of the Linnean Society"
