District,Representative,Party,Residence,First Elected,Term Limited
1,Craig Newbold,Republican,Columbiana,2010,2018
2,Andrew Brenner,Republican,Powell,2010,2018
3,Ron Amstutz,Republican,Wooster,2008,2016
4,Matt Huffman,Republican,Lima,2006,2014
5,Gerald Stebelton,Republican,Lancaster,2006,2014
6,Randy Gardner,Republican,Bowling Green,2008 ( Appt . ),2016
7,Kenny Yuko,Democrat,Richmond Heights,2004,2012
8,Armond Budish,Democrat,Beachwood,2006,2014
9,Barbara Boyd,Democrat,Cleveland Heights,2006,2014
10,Bill Patmon,Democrat,Cleveland,2010,2018
11,Sandra Williams,Democrat,Cleveland,2006,2014
12,"John E. Barnes , Jr",Democrat,Cleveland,2010,2018
13,Nickie Antonio,Democrat,Lakewood,2010,2018
14,Michael Foley,Democrat,Cleveland,2006 ( Appt . ),2014
15,Timothy J. DeGeeter,Democrat,Parma,2003 ( Appt . ),2012
16,Nan Baker,Republican,Westlake,2008,2016
17,Marlene Anielski,Republican,Walton Hills,2010,2018
18,Mike Dovilla,Republican,Berea,2010,2018
19,Anne Gonzales,Republican,Westerville,2010,2018
20,Nancy Garland,Democrat,New Albany,2008,2016
