No,Date,Tournament,Surface,Partner,Opponent in the final,Score
1,"September 25 , 2006",Venezuela F4,Clay,Sergio Ramírez,Carlos Avellán Júlio César Campozano,"6-7 , 4-6"
2,"October 15 , 2007",México F9,Clay,Matías Silva,Ignacio Coll-Riudavets Pablo Martín-Adalia,"0-6 , 4-6"
3,"August 11 , 2008",Ecuador F3,Clay,Sebastián Rivera,Juan-Manual Romanazzi Agustín Velotti,"6-7 , 3-6"
4,"September 30 , 2008",Ecuador F6,Clay,Sebastián Rivera,Iván Endara Walter Valarezo,"3-6 , 6-2 , [ 9-11 ]"
5,"October 13 , 2008",Chile F2,Clay,Sebastián Rivera,Catalin Ionut-Gard Deniss Pavlovs,"6-3 , 5-7 , [ 2-10 ]"
6,"November 11 , 2008",Perú F5,Clay,Iván Endara,Alejandro Kon Leandro Migani,"4-6 , 2-6"
7,"May 18 , 2009",Venezuela F2,Hard,Iván Endara,Alejandro Gonzáles Eduardo Struvay,"2-6 , 5-7"
8,"October 5 , 2009",Venezuela F7,Clay,Ariel Behar,Francisco Carbajal Eduardo Struvay,"3-6 , 6-1 [ 8-10 ]"
9,"October 19 , 2009",Venezuela F9,Hard,Ariel Behar,Luis Davis Martínez Yohny Romero,"6-7 , 5-7"
10,"August 23 , 2010",Colombia F2,Clay,Marcelo Arévalo,Iván Endara Guillermo Rivera-Aránguiz,"6-2 , 3-6 , [ 7-10 ]"
11,"September 27 , 2010",Bolivia F3,Clay,Sergio Galdós,Mauricio Doria-Medina Mauricio Estivariz,"4-6 , 4-6"
12,"October 4 , 2010",Bolivia F4,Clay,Sergio Galdós,Hugo Dellien Federico Zeballos,"1-6 , 4-6"
13,"November 9 , 2010",Perú F1,Clay,Francisco Carbajal,Martín Cuevas Juan Manuel Romanazzi,"4-6 , 6-7"
14,"April 25 , 2011",Venezuela F1,Hard,Sergio Galdós,Piero Luisi Román Recarte,"6-4 , 3-6 , [ 7-10 ]"
