Year,Player,MLB Team,University
1999,Szuminski Jason Szuminski,San Diego Padres,MIT
2003,Ianetta Chris Ianetta,Los Angeles Angels,University of North Carolina
2004,Boggs Mitchell Boggs,St. Louis Cardinals,University of Georgia
2005,Otero Dan Otero,San Francisco Giants,Duke University
2006,Beliveau Jeff Beliveau,Chicago Cubs,College of Charleston
2006,Dominguez Chris Dominguez,San Francisco Giants,University of Louisville
2007,Wilk Adam Wilk,Detroit Tigers,Long Beach State University
2007,Stud Mike Seander,N/A,Duke University
2009,Garcia Greg Garcia,St. Louis Cardinals,University of Hawaii
2010,Appel Mark Appel,Houston Astros,Stanford University
2010,Garcia Chris Taylor,Seattle Mariners,University of Virginia
2010,Garcia Pat Light,Boston Red Sox,Monmouth University
2011-12,Garcia Daniel Wright,Cincinnati Reds,Arkansas State University
2015,Garcia Jeremy Wolf,Israel National Baseball Team,Trinity University
