Series,Episode,Year,Channel
Aggretsuko,We Wish You a Metal Christmas,2017,Netflix
Astro Boy,The Light Ray Robot,1980,NTV
Bobobo-bo Bo-bobo,Let 's Get Wiggy With It,2005,TV Asahi
Cyborg 009,Christmas Eve Mirage,2001,TV Tokyo
Fairy Tail,Fairies 's Christmas,2016,
Flint the Time Detective,Cavemen 's Christmas,1998,
Hayate no Gotoku,"In English , Unmei Means Destiny",2007,
Jeanie with Light Brown Hair,Alone on Christmas Eve,1992,
Kyouran Kazoku Nikki,Black Santa is Sleepless in the Night,2008,
Love Hina,Love Hina Christmas Special - Silent Eve,2000,
Magical Princess Minky Momo,Please Santa Claus,1982,TV Tokyo
Ranma ½,Tendo Family Christmas Scramble,1993,Fuji TV
Science Ninja Team Gatchaman,A Christmas Present of Death,1973,Fuji TV
Toriko,Merry Feasttmas ! Gourmet Santa 's Present !,2012,Fuji TV
The Wallflower,"Oh , My Sweet Home !",2006,
Vandread,White Love,2000,
