Stock symbol,Company,Notes,External link
ABSAB,ABSA Bank Limited,banking,absa.co.za
ABSADI,ABSA Bank Limited,banking,absa.co.za
ACPL,ABSA Capital,investment banking,absacapital.com
AMAGB,ABSA Group Limited,banking,absacapital.com
ACE,Accentuate Limited,"construction , infrastructure development",accentuateltd.co.za
ACP,Acucap Properties Limited,"industrial , commercial , residential property development and property management",acucap.co.za
ADI,adaptIT Holdings Limited,"ICT Group , serving customers in the manufacturing , mining , higher education and financial services sectors",adaptit.co.za
AIP,Adcock Ingram Holdings Ltd,pharmaceuticals,adcock.co.za
ADR,Adcorp Holdings Limited,"human resources , market research",adcorp.co.za
ANA,Adrenna Property Group Limited,real estate,
ADH,Advtech Limited,human resources,advtech.co.za
AFE,AECI Limited,"chemicals , explosives , yarns and fibers , property",aeci.co.za
AFR,Afgri Limited,"agriculture , agricultural supplies , financial services",afgri.co.za
ATR,Africa Cellular Towers Limited,in liquidation,
AOO,African & Overseas Enterprises Limited,holding company ; manufacturing and marketing of apparel,rextrueform.com
ABL,African Bank Investments Limited,"financial services , loans",africanbank.co.za
ADW,African Dawn Capital Limited,finance and development of low-cost and affordable housing,africandawncapital.co.za
AEA,African Eagle Resources Plc,nickel exploration and development,africaeagle.co.uk
AME,African Media Entertainment Limited,media,ame.co.za
AFX,African Oxygen Limited,"industrial gases , welding supplies",afrox.com
