Company,Location,Founded,Type
Witan Entertainment,Haarlem,1992,"entertainment , casual , serious , mobile games"
Engine Software,Doetinchem,1995,"entertainment , handheld , mobile games"
Elements Interactive,Almere,1996,"mobile games , software and websites"
Triumph Studios,Delft,1997,core games
IJsfontein,Amsterdam,1997,serious games
MAD Multimedia,Groningen,1998,serious games
RANJ,Rotterdam,1999,serious games
Khaeon,The Hague,1999,core games
Nixxes Software,Utrecht,1999,video game conversions and software
Guerrilla Games,Amsterdam,2000,core games
Bright Alley,Utrecht,2000,serious games and gamification
Two Tribes,Harderwijk,2000,core games
Codeglue,Rotterdam,2000,core games
E-Semble bv,Delft,2000,serious games
NotTheFly Mobile Entertainment,Venlo,2000,mobile games
Zylom,Eindhoven,2001,casual games and game distributor
Gamebasics Studio,Zoetermeer,2004,mobile games
Monkeybizniz,Utrecht,2001,serious games
Trade Games International,The Hague,2002,core games
VSTEP,Rotterdam,2002,serious games
