Name,Spain caps,Years active,Nation of birth
Ramón Zabalo,11,1931-1936,England
Roberto López Ufarte,15,1977-1982,Morocco
Eduardo Arbide,1,1921,Argentina
Marcelino Gálatas,1,1927,Philippines
Alfredo Di Stéfano,31,1957-1961,Argentina
Marcos Senna,28,2006-2010,Brazil
José Eulogio Gárate,18,1967-1975,Argentina
Ferenc Puskás,4,1961-1962,Hungary
László Kubala,19,1953-1961,Hungary
Donato Gama da Silva,12,1994-1996,Brazil
Juan Errazquin ( es ),6,1925-1928,Argentina
Rubén Cano,12,1977-1979,Argentina
Eulogio Martinez,8,1959-1962,Paraguay
José Santamaría,16,1958-1962,Uruguay
Heriberto Herrera,1,1957,Paraguay
Juan Antonio Pizzi,22,1994-1998,Argentina
Catanha,3,2000,Brazil
Rubén Óscar Valdez,9,1972-1974,Argentina
Juan Carlos Heredia,3,1978-1979,Argentina
Thomas Christiansen,2,1993,Denmark
