#,Title,Co-stars,Release date,Director,Series
1,Baseball Bugs,,"February 2 , 1946",Friz Freleng,LT
2,Rabbit Seasoning,"Daffy , Elmer","September 20 , 1952",Chuck Jones,MM
3,Long-Haired Hare,,"June 25 , 1949",Chuck Jones,LT
4,High Diving Hare,Sam,"April 30 , 1949",Friz Freleng,LT
5,Bully for Bugs,,"August 8 , 1953",Chuck Jones,LT
6,What 's Up Doc ?,Elmer,"June 17 , 1950",Robert McKimson,LT
7,Rabbit 's Kin,Pete Puma,"November 15 , 1952",Robert McKimson,MM
8,"Water , Water Every Hare",Gossamer,"April 19 , 1952",Chuck Jones,LT
9,Big House Bunny,Sam,"April 22 , 1950",Friz Freleng,LT
10,Big Top Bunny,,"December 1 , 1951",Robert McKimson,MM
11,My Bunny Lies over the Sea,,"December 4 , 1948",Chuck Jones,MM
12,Wabbit Twouble,Elmer,"December 20 , 1941",Bob Clampett,MM
13,Ballot Box Bunny,Sam,"October 6 , 1951",Friz Freleng,MM
14,Rabbit of Seville,Elmer,"December 16 , 1950",Chuck Jones,LT
