Church,Dates,"City , State"
Second Free Baptist Church,built NRHP-listed,"Alton , New Hampshire"
First Free Will Baptist Church and Vestry,built NRHP-listed,"Ashland , New Hampshire"
First Baptist Church of Cornish,built NRHP-listed,"Cornish Flat , New Hampshire"
First Freewill Baptist Church,built NRHP-listed,"East Alton , New Hampshire"
First Baptist Church of Gilmanton,built NRHP-listed,"Gilmanton , New Hampshire"
North Holderness Freewill Baptist Church-Holderness Historical Society Building,built NRHP-listed,"Holderness , New Hampshire"
"Evangelical Baptist Church ( Laconia , New Hampshire )",built NRHP-listed,"Laconia , New Hampshire"
United Baptist Church of Lakeport,built NRHP-listed,"Laconia , New Hampshire"
First Free Will Baptist Church in Meredith,built NRHP-listed,"Meredith , New Hampshire"
"Free Will Baptist Church ( New Durham , New Hampshire )",built NRHP-listed,"New Durham , New Hampshire"
Baptist New Meeting House,built NRHP-listed,"New London , New Hampshire"
First Free Will Baptist Church,built NRHP-listed,"Ossipee , New Hampshire"
Freewill Baptist Church-Peoples Baptist Church-New Hope Church,built NRHP-listed,"Portsmouth , New Hampshire"
