Title,First release,Developer ( s ),Platform ( s )
Hoshigami : Ruining Blue Earth Remix,"June 25 , 2007",Barnhouse Effect,Nintendo DS
Super Dodgeball Brawlers,"May 27 , 2008",Arc System Works,Nintendo DS
Jake Hunter : Detective Chronicles,"June 11 , 2008",WorkJam,Nintendo DS
From the Abyss,"August 26 , 2008",Sonic Powered,Nintendo DS
Theresia,"October 30 , 2008",WorkJam,Nintendo DS
Princess on Ice,"November 5 , 2008",Arc System Works,Nintendo DS
Jake Hunter Detective Story : Memories of the Past,"May 26 , 2009",WorkJam,Nintendo DS
Rockin ' Pretty,"July 20 , 2009",Arc System Works,Nintendo DS
Squeeballs Party,"October 12 , 2009",Eiconic Games,Nintendo DS
Hero 's Saga Laevatein Tactics,"October 20 , 2009",GungHo Online Entertainment,Nintendo DS
Animal Puzzle Adventure,"January 4 , 2010",Arc System Works,Nintendo DSi ( DSiWare )
Jazzy Billiards,"January 11 , 2010",Arc System Works,Nintendo DSi ( DSiWare )
World Cup Of Pool,"February 12 , 2010",Midas Interactive Entertainment,Nintendo DS
Do n't Cross the Line,"June 7 , 2010",Jupiter,Nintendo DSi ( DSiWare )
River City Soccer Hooligans,"June 10 , 2010",Arc System Works,Nintendo DS
BlayzBloo : Super Melee Brawlers Battle Royale,"August 2 , 2010",Arc System Works,Nintendo DSi ( DSiWare )
Everyday Soccer,"September 20 , 2010",Arc System Works,Nintendo DSi ( DSiWare )
River City Super Sports Challenge,"October 12 , 2010",Million,Nintendo DS
"999 : Nine Hours , Nine Persons , Nine Doors","November 16 , 2010",Chunsoft,Nintendo DS
Pro Jumper ! Guilty Gear Tangent ! ?,"June 23 , 2011",Arc System Works,Nintendo DSi ( DSiWare )
