Team,Manager,Captain,Kit manufacturer,Shirt sponsor
FC Daugava Daugavpils,Ivan Tabanov,Daniel Ola,Erreà,-
FK Daugava Rīga,Virginijus Liubšys,Mantas Savenas,Nike,-
Ilūkstes NSS,Alens Vinakurovs,Dmitri Kozlov,Erreà,-
FK Jelgava,Sergejs Golubevs,Deniss Petrenko,Macron,Igate
FC Jūrmala,Mihails Koņevs,Alberts Nikoļskis,Givova,-
SK Liepājas Metalurgs,Jānis Intenbergs,Antons Jemeļins,Adidas,-
FS Metta/LU,Andris Riherts,Artūrs Biezais,Nike,SMS Credit.lv
Skonto FC,Tamaz Pertia,Juris Laizāns,Jako,Granat Investment
FK Spartaks Jūrmala,Jurijs Popkovs,Dmitrijs Daņilovs,Nike,-
FK Ventspils,Jurģis Pučinsks,Vitālijs Smirnovs,Adidas,VK Tranzīts
