Actor,Character,Duration,Episodes
James Buckley,Del Boy,2010-2011,3
Nicholas Lyndhurst,Freddie the Frog Robdal,2010-2011,3
Phil Daniels,Ted Trotter,2010-2011,3
Kellie Bright,Joan Trotter,2010-2011,3
Shaun Dingwall,Reg Trotter,2010-2011,3
Emma Cooke,Reenie Turpin,2010-2011,3
Paul Putner,Gerald 'Jelly ' Kelly,2010-2011,3
Lewis Osborne,Trigger,2010-2011,3
Stephen Lloyd,Boycie,2010-2011,3
Ashley Gerlach,Denzil,2010-2011,3
Lee Long,Jumbo Mills,2010-2011,3
Calum MacNab,Roy Slater,2010-2011,2
Alison Pargeter,Val,2010-2011,3
Mel Smith,DI Thomas,2010-2011,2
Paula Wilcox,Violet Trotter,2010-2011,2
Robert Daws,Ernie Rayner,2010-2011,3
Billy Seymour,Raymond,2010-2011,3
Chandeep Uppal,Amita,2010,1
Joan Hodges,Gwen,2010-2011,2
Kacey Ainsworth,Edna,2010,1
