Title,Developer ( s ),Publisher ( s ),Release Date,ESRB
Altered Beast,Sega,Sega,"November 19 , 2006",E
Sonic the Hedgehog,Sega,Sega,"November 19 , 2006",E
Ecco the Dolphin,Novotrade Interactive,Sega,"November 28 , 2006",E
Golden Axe,Sega,Sega,"November 28 , 2006",E
Columns,Sega,Sega,"December 4 , 2006",E
Ristar,Sega,Sega,"December 4 , 2006",E
Dr. Robotnik 's Mean Bean Machine,Compile,Sega,"December 11 , 2006",E
Gunstar Heroes,Treasure,Sega,"December 11 , 2006",E10+
Space Harrier II,Sega AM2,Sega,"December 18 , 2006",E
ToeJam & Earl,Johnson Voorsanger Productions,Sega,"December 25 , 2006",E
Bonanza Bros,Sega,Sega,"January 29 , 2007",E
Comix Zone,Sega Technical Institute,Sega,"January 29 , 2007",E
Gain Ground,Sega,Sega,"February 5 , 2007",E
Streets of Rage,"Sega-AM7 , MNM Software",Sega,"February 19 , 2007",E10+
Bio-Hazard Battle,Sega,Sega,"February 26 , 2007",E
Sword of Vermilion,Sega AM2,Sega,"March 5 , 2007",E
Sonic Spinball,"Polygames , Sega Technical Institute",Sega,"March 12 , 2007",E
Beyond Oasis,Ancient,Sega,"March 19 , 2007",E
Alex Kidd in the Enchanted Castle,Sega,Sega,"April 9 , 2007",E
Virtua Fighter 2,Sega AM2,Sega,"April 16 , 2007",T
