Year,Title,Role,Notes
1996-2000,All That,Various roles,Lead role ( seasons 3 - 6 )
1997-1999,Figure It Out,Panelist,Seasons 1-4
1998,Blue 's Clues,Herself,Episode : Blue 's Birthday
1999,Arli $ $,Crystal Dupree,"Episode : Our Past , Our Present , Our Future"
1999-2002,The Amanda Show,Host / Various roles,Lead role
2000,Crashbox,Pink Robot,Episode : Amanda Bynes
2000,Double Dare 2000,Herself,2 episodes ; contestant
2001,The Drew Carey Show,Sketch player,Episode : Drew Carey 's Back-to-School Rock ' n ' Roll Comedy Hour
2001,The Nightmare Room,Danielle Warner,Episode : Do n't Forget Me
2001-2002,Rugrats,Taffy ( voice ),Recurring role ( season 9 )
2002-2006,What I Like About You,Holly Tyler,Lead role
2008,Family Guy,Anna,Voice ; Episode : Long John Peter
2008,Living Proof,Jamie,Television film
