Season,Player,School,State,Position,Class
1982-83,Leroy Witherspoon,Potsdam State,New York,PG,Junior
1983-84,Leroy Witherspoon ( 2 ),Potsdam State ( 2 ),New York,PG,Senior
1984-85,Tim Casey,Wittenberg,Ohio,,Senior
1985-86,Dick Hempy,Otterbein,Ohio,G,Junior
1986-87,Brendan Mitchell,Potsdam State ( 3 ),New York,SF,Senior
1987-88,Scott Tedder,Ohio Wesleyan,Ohio,SF / SG,Senior
1988-89,Greg Grant,Trenton State,New Jersey,PG,Senior
1989-90,Matt Hancock,Colby,Maine,SG,Senior
1990-91,Brad Baldridge,Wittenberg ( 2 ),Ohio,C,Senior
1991-92,Andre Foreman,Salisbury State,Maryland,PF,Senior
1992-93,Steve Hondred,Calvin,Michigan,,
1993-94,Scott Fitch,SUNY Geneseo,New York,G,Senior
1994-95,D'Artis Jones,Ohio Northern,Ohio,SG,Senior
1995-96,David Benter,Hanover,Indiana,,Senior
1996-97,Bryan Crabtree,Illinois Wesleyan,Illinois,SF,Senior
1997-98,Mike Nogelo,Williams,Massachusetts,F,Senior
1998-99,Merrill Brunson,Wisconsin-Platteville,Wisconsin,PG / SG,Junior
1999-00,Aaron Winkle,Calvin ( 2 ),Michigan,PF,Senior
2000-01,Horace Jenkins,William Paterson,New Jersey,PG,Senior
2001-02,Jeff Gibbs,Otterbein ( 2 ),Ohio,F,Senior
