City,Population,Country
Varna,"343,486",Bulgaria
Constanţa,"310,471",Romania
Burgas,200.264,Bulgaria
Tulcea,"92,379",Romania
Dobrich,"89,472",Bulgaria
Medgidia,"44,850",Romania
Mangalia,"41,153",Romania
Năvodari,"34,669",Romania
Cernavodă,"19,890",Romania
Aitos,"19,537",Bulgaria
Karnobat,"18,394",Bulgaria
Pomorie,"14,170",Bulgaria
Ovidiu,"13,458",Romania
Nesebar,"13,347",Bulgaria
Provadiya,"13,090",Bulgaria
Kavarna,"11,368",Bulgaria
Balchik,"11,321",Bulgaria
Hârşova,"11,198",Romania
Murfatlar,"10,857",Romania
Măcin,"10,625",Romania
