Stock symbol,Company,Notes
MCU,M Cubed Holdings Limited,financial services
MDN,Madison Property Fund Managers Holdings Ltd,
MKL,Makalani Holdings Limited,holding company ; finance
MSS,Marshalls Limited,commercial and light industrial property ; parking garages
MAS,Masonite ( Africa ) Limited,"forestry , construction materials"
MSM,Massmart Holdings Limited,
MTZ,Matodzi Resources Limited,diamonds in Lesotho
MDC,Medi-Clinic Corporation Limited,
MRF,Merafe Resources Limited,"mining , metallurgy , chromium"
MTL,Mercantile Bank Holdings Limited,
MTA,Metair Investments Limited,motor vehicle components for the vehicle assembly industry
MML,Metmar Limited,"direct mail , logistics"
MEMTX,Metorex Limited,"mining , support to the mining industry"
MFL,Metrofile Holdings Limited,"information management , document management , archiving"
MET,Metropolitan Holdings Limited,
MMG,Micromega Holdings Limited,"financial services , information technology , automotive"
MMH,Miranda Mineral Holdings Limited,"prospecting : diamonds , coal , gold , silver , base metals"
MLA,Mittal Steel South Africa Limited,"Arcelor-Mittal , a global steel company"
MMI,MMI Holdings Limited,"life insurance , employee benefits , medical scheme , health insurance , asset management"
MOB,Mobile Industries Limited,"marine cargo industry , including beer kegs , transponders and software solutions"
