Character,Voice,First appearance,Notes
Ant-Man / Giant Man / Yellowjacket / Hank Pym,Wally Wingert,"As Ant-Man in The Man in the Ant Hill As Giant-Man in Breakout , Part 2 As Yellowjacket in Yellowjacket",Founding member . Left the team in Ultron-5 ; rejoined in Yellowjacket
Black Panther / T'Challa,James C. Mathis III,Welcome to Wakanda,Joined the team in Panther 's Quest . Left the team in Who Do You Trust ? ; rejoined in Behold ... The Vision . Apparently died in Operation Galactic Storm . Revealed to be alive and rejoined in Live Kree or Die
Captain America / Steve Rogers,Brian Bloom,Meet Captain America,Joined the team in Living Legend . Replaced by a Skrull infiltrator in A Day Unlike Any Other . Freed in Prisoner of War . Rejoined in Secret Invasion . Became team leader in Code Red
Hawkeye / Clint Barton,Chris Cox,Hulk Versus the World,"Left S.H.I.E.L.D . in Beware the Widow 's Bite , joined the team in Gamma World , Part 2"
Hulk / Bruce Banner,Fred Tatasciore ( Hulk ) Gabriel Mann ( Bruce Banner ),The Coming of the Hulk,"Founding member . Banner , who acts as the Hulk 's conscience and gives him advice , agreed to allow the Hulk to remain physically in control of their body in exchange for the Hulk helping the Avengers . Left the team in Some Assembly Required ; rejoined in Gamma World , Part 2 . Arrested by the Hulkbusters in Nightmare in Red ; returned in The Deadliest Man Alive"
Iron Man / Tony Stark,Eric Loomis,Iron Man is Born !,Founding member . Team leader . Left the team in Who Do You Trust ? ; rejoined in Secret Invasion ; Stepped down as team leader in Code Red
J.A.R.V.I.S,Phil LaMarr,Iron Man is Born !,"Iron Man 's trusty A.I . system integrated into his various armors and the facilities of Stark Industries , as well as the Avengers Mansion"
Ms. Marvel / Carol Danvers,Jennifer Hale,As Carol Danvers in 459 As Ms. Marvel in Welcome to the Kree Empire,Joined the team in Welcome to the Kree Empire . Also member of S.W.O.R.D . . Left the team in Who Do You Trust ? ; rejoined in Infiltration
Spider-Man / Peter Parker,Drake Bell,Along Came a Spider,"Joined the team as a reserve member in New Avengers . Also founding member of the New Avengers . Josh Keaton , the voice of Spider-Man on The Spectacular Spider-Man , had recorded Spider-Man 's voice in the series , but was re-dubbed by Drake Bell ( who voiced the character in Ultimate Spider-Man )"
Thor Odinson,Rick D. Wasserman,Thor the Mighty,Founding member . Separated from the team after A Day Unlike Any Other . Returned in Secret Invasion
Vision,Peter Jessop,Behold ... The Vision,Joined the team in Emperor Stark
Wasp / Janet Van Dyne,Colleen O'Shaughnessey,The Man in the Ant Hill,Founding member
