School,Former conference,New conference
Augustana Vikings,NCC,NSIC
Brevard Tornadoes,Independent,SAC
Bryant Bulldogs,NE10,Independent ( FCS )
Central Washington Wildcats,NCC,GNAC
C. W. Post Pioneers,NE10,PSAC
Chowan Hawks,Independent,CIAA
CSU Pueblo ThunderWolves,New program,RMAC
Dixie State Trailblazers,Independent,GNAC
Gannon Golden Knights,GLIAC,PSAC
Humboldt State Lumberjacks,Independent,GNAC
Lake Erie Storm,New program,Independent
Lincoln Lions,New program,Independent
Mercyhurst Lakers,GLIAC,PSAC
Minnesota State Mavericks,NCC,NSIC
Minnesota-Duluth Bulldogs,NCC,NSIC
Nebraska-Omaha Mavericks,NCC,MIAA
North Dakota Fighting Sioux,NCC,Great West ( FCS )
St . Cloud State Huskies,NCC,NSIC
South Dakota Coyotes,NCC,Great West ( FCS )
Southwest Baptist Bearcats,MIAA,Independent
