Caliber ( mm ),Power source,Weapon name,Country of origin,Period
20,Internal,M39 cannon,United States,Cold War
20,Internal,Mauser MG 213,Nazi Germany,World War II
20,Internal,ShVAK cannon,Soviet Union,World War II
23,Internal,Rikhter R-23,Soviet Union,Cold War
27,,Mauser BK-27,Germany,Cold War
30,External,Rheinmetall RMK30,Germany,Modern
30,Internal,ADEN cannon,United Kingdom,Cold War
30,Internal,DEFA cannon,France,Cold War
30,External,GIAT 30,France,Cold War
35,Internal,Oerlikon Millennium 35 mm Naval Revolver Gun System,Switzerland,Modern
