Year,Name,Club/Nation,Time
1976,Berit Mørdre Lammedal,Norway,3:54.44
1977,Valborg Østberg,Norway,3:31.04
1978,Birgit Øverby Tennøe,Norway,3:49.01
1979,Anna Bjørgan,Norway,4:07.48
1980,Anna Bjørgan ( 2 ),Norway,3:47.15
1981,Vigdis Rønning,Norway,3:43.19
1982,Birgit Øverby Tennøe ( 2 ),Norway,3:40.55
1983,Hilde Riis,Norway,3:26.47
1984,Gry Oftedal,Norway,3:27.00
1985,Gry Oftedal ( 2 ),Norway,3:25.45
1986,Ellen Grepperud,Norway,3:52.45
1987,Astrid Dæhlie,Norway,3:47.32
1988,Elisabeth Tharaldsen,Norway,3:50.13
1989,Marthe Flugstad,Norway,3:13.35
1990,Mona Fugli,Norway,3:51.50
1991,Ragnhild Bratberg,Norway,3:38.54
1992,Anne Jahren,Norway,3:52.00
1993,Astrid Kristin Ruud,"NTHI , Norway",3:24.25
1994,Marit Elveos,Norway,3:21.12
1995,Unni Ødegård,Norway,3:28.15
