Medal,Name,Sport,Event,Date
Gold,Jason Dunford,Aquatics,Men 's 50m Butterfly,October 6
Gold,Grace Momanyi,Athletics,Women 's 10000m,October 8
Gold,Nancy Jebet Langat,Athletics,Women 's 1500m,October 8
Gold,Mark Mutai,Athletics,Men 's 400m,October 9
Gold,Milcah Chemos Cheywa,Athletics,Women 's 3000m steeplechase,October 9
Gold,Boaz Kiplagat Lalang,Athletics,Men 's 800m,October 10
Gold,Nancy Jebet Langat,Athletics,Women 's 800m,October 11
Gold,Richard Kipkemboi Mateelong,Athletics,Men 's 3000m steeplechase,October 11
Gold,Silas Kiplagat,Athletics,Men 's 1500m,October 12
Gold,Vivian Cheruiyot,Athletics,Women 's 5000m,October 12
Gold,John Kelai,Athletics,Men 's Marathon,October 14
Gold,Irene Jerotich,Athletics,Women 's Marathon,October 14
Silver,Eliud Kipchoge,Athletics,Men 's 5000m,October 6
Silver,Doris Changeywo,Athletics,Women 's 10000m,October 8
Silver,Mercy Wanjiru Njoroge,Athletics,Women 's 3000m steeplechase,October 9
Silver,Richard Kiplagat,Athletics,Men 's 800m,October 10
Silver,Ezekiel Cheboi,Athletics,Men 's 3000m steeplechase,October 11
Silver,Daniel Salel,Athletics,Men 's 10000m,October 11
Silver,James Kiplangat Magut,Athletics,Men 's 1500m,October 12
Silver,Sylvia Jebiwot Kibet,Athletics,Women 's 5000m,October 12
